inflationAdjusted,detail,context,year,gender,original cost,note,source,link 1,link 2,
"4,480",slave (very young child),Ancient Egypt,-500,either,140 silver drachmas,,The Slave Systems Or Greek and Roman Antiquity by William Linn Westerman ,http://books.google.es/books?id=FF-uCZRXiO4C&lpg=PA101&ots=bNsos9KDY-&dq=prices%20roman%20slaves%20child%20old&pg=PA101#v=onepage&q=prices%20roman%20slaves%20child%20old&f=false,http://www.apostolic-ministries.net/bibleaids.htm#pagehh,
"20,480",slave (8 years old),Ancient Egypt,-500,Female (girl),640 silver drachmas,,The Slave Systems Or Greek and Roman Antiquity by William Linn Westerman ,http://books.google.es/books?id=FF-uCZRXiO4C&lpg=PA101&ots=bNsos9KDY-&dq=prices%20roman%20slaves%20child%20old&pg=PA101#v=onepage&q=prices%20roman%20slaves%20child%20old&f=false,http://www.apostolic-ministries.net/bibleaids.htm#pagehh,
"32,000",slave,Ancient Egypt,-500,Male,1000 silver drachmas,1 drachma is assumed to be worth 1 day's wage. (32 USD in 2009) ,The Slave Systems Or Greek and Roman Antiquity by William Linn Westerman ,http://books.google.es/books?id=FF-uCZRXiO4C&lpg=PA101&ots=bNsos9KDY-&dq=prices%20roman%20slaves%20child%20old&pg=PA101#v=onepage&q=prices%20roman%20slaves%20child%20old&f=false,http://www.apostolic-ministries.net/bibleaids.htm#pagehh,
"2,080",Gladiator,Ancient Rome,0,Male,208 denarii,"120 gladiators cost around 25,000 denarii ($500,000), 1 gladiator = approx. 208 denarii. assuming denarius = $10 at this time. ",Encyclopaedia Romana,http://penelope.uchicago.edu/~grout/encyclopaedia_romana/gladiators/venationes.html,,
"6,000",slave,Ancient Rome,0,Male (boy),300 denarii,assuming denarius = $20 at this time,The Slave Systems Or Greek and Roman Antiquity by William Linn Westerman ,http://books.google.es/books?id=FF-uCZRXiO4C&lpg=PA101&ots=bNsos9KDY-&dq=prices%20roman%20slaves%20child%20old&pg=PA101#v=onepage&q=prices%20roman%20slaves%20child%20old&f=false,,
"12,000",slave,Ancient Rome,0,Female (girl),600 denarii,,The Slave Systems Or Greek and Roman Antiquity by William Linn Westerman ,http://books.google.es/books?id=FF-uCZRXiO4C&lpg=PA101&ots=bNsos9KDY-&dq=prices%20roman%20slaves%20child%20old&pg=PA101#v=onepage&q=prices%20roman%20slaves%20child%20old&f=false,,
"24,000",slave,Ancient Rome,0,Male,1200 denarii,"Roman prices of wheat, wine and meat imply the as (211 BCE-301 CE) and nummus (301 CE äóñ 475 CE) as equivalent to the US dollar in purchasing power, and by conversion, the denarius at around $10 in 200 BCE, $20 at the height of the munera, and $25 in 300 CE ",The Slave Systems Or Greek and Roman Antiquity by William Linn Westerman ,http://books.google.es/books?id=FF-uCZRXiO4C&lpg=PA101&ots=bNsos9KDY-&dq=prices%20roman%20slaves%20child%20old&pg=PA101#v=onepage&q=prices%20roman%20slaves%20child%20old&f=false,,
"1,200",Afghanistan Civilian death (Australian Military),Australian Military,2011-2013,both,$1200 AUD,conversation from AUD to USD is virtually one for one,Herald Sun,http://www.heraldsun.com.au/ipad/diggers-pay-market-rate-1200-compensation-for-afghan-civilian-deaths/story-fn6bfkm6-1225944913938,,
"1,300",Male Irish Slave,Caribbean,1650,Male,$8 ,inflation adjusted from 1750 conversion of $8 and then a bit added," 'A World Of Curiosities' John Oldale, page 50",,,
"9,000",Female African girl slave,Caribbean,1650,Female (girl),Œ£53-58,,"Nationalarchives.com, Raceandhistory.com",http://www.nationalarchives.gov.uk/pathways/blackhistory/africa_caribbean/transcripts/stephen_fuller.htm,http://www.raceandhistory.com/cgi-bin/forum/webbbs_config.pl/noframes/read/1638,http://www.measuringworth.com/ppoweruk/
"9,500",Male African boy slave,Caribbean,1650,Male (boy),Œ£55-60,,"Nationalarchives.com, Raceandhistory.com",http://www.nationalarchives.gov.uk/pathways/blackhistory/africa_caribbean/transcripts/stephen_fuller.htm,http://www.raceandhistory.com/cgi-bin/forum/webbbs_config.pl/noframes/read/1638,
"10,000",African Slave,Caribbean,1650,Male,$30-$80,," 'A World Of Curiosities' John Oldale, page 50",,,
"10,300",African Female slave,Caribbean,1650,Female,Œ£60-63,,"Nationalarchives.com, Raceandhistory.com",http://www.nationalarchives.gov.uk/pathways/blackhistory/africa_caribbean/transcripts/stephen_fuller.htm,http://www.raceandhistory.com/cgi-bin/forum/webbbs_config.pl/noframes/read/1638,
880,Atheist (or other religion),Saudi Arabia blood money,saudi,Female,,"Saudi blood money tariffs (Iran has a similar system, but the time of year is also important: during the four months of haram, all rates are doubled. Levels for 100% culpability)."," 'A World Of Curiosities' John Oldale, page 220",,,
"1,750",Atheist (or other religion),Saudi Arabia blood money,saudi,Male,,"Saudi blood money tariffs (Iran has a similar system, but the time of year is also important: during the four months of haram, all rates are doubled. Levels for 100% culpability)."," 'A World Of Curiosities' John Oldale, page 220",,,
"8,800",Christian or Jew,Saudi Arabia blood money,saudi,Female,,"Saudi blood money tariffs (Iran has a similar system, but the time of year is also important: during the four months of haram, all rates are doubled. Levels for 100% culpability)."," 'A World Of Curiosities' John Oldale, page 220",,,
"13,500",Muslim,Saudi Arabia blood money,saudi,Female,,"Saudi blood money tariffs (Iran has a similar system, but the time of year is also important: during the four months of haram, all rates are doubled. Levels for 100% culpability)."," 'A World Of Curiosities' John Oldale, page 220",,,
"13,500",Christian or Jew,Saudi Arabia blood money,saudi,Male,,"Saudi blood money tariffs (Iran has a similar system, but the time of year is also important: during the four months of haram, all rates are doubled. Levels for 100% culpability)."," 'A World Of Curiosities' John Oldale, page 220",,,
"27,000",Muslim,Saudi Arabia blood money,saudi,Male,,"Saudi blood money tariffs (Iran has a similar system, but the time of year is also important: during the four months of haram, all rates are doubled. Levels for 100% culpability)."," 'A World Of Curiosities' John Oldale, page 220",,,
"2,000",Afghanistan Civilian death (average),UK Military,2011-2013,both,,,http://www.guardian.co.uk/commentisfree/2011/apr/01/afghan-life-nato,,,
"8,000",Afghanistan Civilian death (highest paid),UK Military,2011-2013,both,,,http://www.guardian.co.uk/commentisfree/2011/apr/01/afghan-life-nato,,,
"38,000",UK Military Personnel,UK Military,2011-2013,both,Œ£25000 UKP,"The amount paid is calculated by multiplying the salary by a factor based on age at the time of death. 60% of that figure will be paid for the surviving adult dependant. If the deceased was a member of AFPS 75 (Armed Forces Pension Society), then the dependant will receive the full grant of Œ£25,000",Veterans UK,http://www.veterans-uk.info/pensions/death.html,,
"4,000","60 year old, black male slave  ",US,1850,male,$700.00 ,,,http://eh.net/encyclopedia/article/wahl.slavery.us,http://www.measuringworth.com/slavery.php,
"8,100","10 year old, black male slave",US,1850,male,$800.00 ,slave market value $4bn in US South,,,,
"11,000","40 & 20 year old, black male slave  ",US,1850,male,$700.00 ,,,http://eh.net/encyclopedia/article/wahl.slavery.us,http://www.measuringworth.com/slavery.php,
"19,000","35 year old, black male slave  ",US,1850,male,$700.00 ,,,http://eh.net/encyclopedia/article/wahl.slavery.us,http://www.measuringworth.com/slavery.php,
"22,000","25 year old, black male slave  ",US,1850,male,$800.00 ,,,http://eh.net/encyclopedia/article/wahl.slavery.us,http://www.measuringworth.com/slavery.php,
"30,000",Prime Male Slave (New Orleans),US,1855,male,"$1,200.00 ",,,http://eh.net/encyclopedia/article/wahl.slavery.us,http://www.measuringworth.com/slavery.php,
"100,000",US Military Personnel,US Military,2011-2013,both,,The death gratuity is a one-time non-taxable payment of $100000 to surviving family members of military personnel who have died on active duty. ,Military.com,http://www.military.com/benefits/survivor-benefits/death-gratuity.html,,
"6,400",Baby from Nigeria,Nigeria ,2011,both,,,"Havoscope, Guardian",http://www.havocscope.com/black-market-prices/human-trafficking-prices/,http://www.guardian.co.uk/law/2011/jun/02/nigeria-baby-farm-raided-human-trafficking,
"7,800",Male Baby in China,China,2012,male,"50,000 Yuan",2012 price same as 2011,"Havoscope, Businessweek",http://www.havocscope.com/price-of-babies-sold-in-china-in-2012/,http://www.businessweek.com/news/2012-07-05/china-busts-traffickers-after-babies-auctioned-off-for-7-800,
"4,732",Female Baby in China,China,2011,female,"30,000 Yuan",,"Havoscope, Guardian",http://www.havocscope.com/reported-price-of-babies-in-china-in-2011/,http://www.guardian.co.uk/world/2011/nov/04/china-baby-trafficking-ring-shut?newsfeed=true,
"17,500","Baby in North Caucasus, Russia",Russia,2012,male,"550,000 Roubles",,"Havoscope, Reuters",http://www.havocscope.com/price-of-baby-in-north-caucasus-region-of-russia/,http://www.reuters.com/article/2012/11/01/us-russia-trafficking-northcaucasus-idUSBRE8A013620121101,
"45,000",Trafficked person in Cambodia or Thailand,"Cambodia, Thailand",2013,both ,,"Each victim generates  <$45,000 in gross revenue for the human trafficker (market of $181 Million a year)","Havoscope, äóìTransnational Organized Crime in East Asia and the Pacific: A Threat Assessment,äó UNODC, April 2013, Executive Summary, page iv",http://www.havocscope.com/income-from-trafficking-victim-in-cambodia-and-thailand/,http://www.unodc.org/unodc/en/frontpage/2013/April/first-comprehensive-unodc-study-on-transnational-organized-crime-threats-in-east-asia-and-the-pacific.html?ref=fs4,
45,"Child, India (for labour, sex work)",India,2007,both,,"$45, versus $350 for buffalo. ""most of them end up working as laboreres or commercial sex workers.äó","Havoscope, Reuters",http://www.havocscope.com/buffaloes-in-india-cost-350-children-cost-45/,http://www.reuters.com/article/2007/04/03/us-india-children-trafficking-idUSDEL15186520070403,
300,"Child, Iraq (lowest)","Iraq, international trafficking",2009,both,Œ£200,lowest price,"Havoscope, Guardian",http://www.havocscope.com/prices-of-children-in-iraq/,http://www.guardian.co.uk/world/2009/apr/06/child-trafficking-iraq,
"5,500","Child, Iraq (highest)","Iraq, international trafficking",2009,both,Œ£4000,highest price,"Havoscope, Guardian",http://www.havocscope.com/prices-of-children-in-iraq/,http://www.guardian.co.uk/world/2009/apr/06/child-trafficking-iraq,
600,"Child soldier, Mali",Mali ,2012,male,,Mali Islamist groups,"Havoscope, BBC",http://www.havocscope.com/price-to-buy-child-soldier-in-mali/,http://www.bbc.co.uk/news/world-africa-19905905,
"25,000","Child, UK",UK,2011,both,Œ£1600,"Smuggled children sold to brothels, domestic servitude, forced labour","Havoscope, BBC",http://www.havocscope.com/price-of-children-in-the-uk/,http://www.bbc.co.uk/news/uk-politics-13440736,
"6,000","Romanian girl sold into prostitution, Western Europe maximum",Romania,2010,female ,5000 euros,highest price. Mainly in Brussels,"Havoscope, Sofia News Agency",http://www.havocscope.com/price-of-romanian-girls/,http://www.novinite.com/view_news.php?id=116564,
