inflationAdjusted,klass,label,detail,context,year,gender,original cost,note,source,link 1,link 2,
"4,480",antiquity,Egyptian Slave (child),slave (very young child),Ancient Egypt,-600,either,140 silver drachmas,,The Slave Systems Or Greek and Roman Antiquity by William Linn Westerman ,http://books.google.es/books?id=FF-uCZRXiO4C&lpg=PA101&ots=bNsos9KDY-&dq=prices%20roman%20slaves%20child%20old&pg=PA101#v=onepage&q=prices%20roman%20slaves%20child%20old&f=false,http://www.apostolic-ministries.net/bibleaids.htm#pagehh,
"20,480",antiquity,Egyptian Slave (age 8),slave (8 years old),Ancient Egypt,-500,Female (girl),640 silver drachmas,,The Slave Systems Or Greek and Roman Antiquity by William Linn Westerman ,http://books.google.es/books?id=FF-uCZRXiO4C&lpg=PA101&ots=bNsos9KDY-&dq=prices%20roman%20slaves%20child%20old&pg=PA101#v=onepage&q=prices%20roman%20slaves%20child%20old&f=false,http://www.apostolic-ministries.net/bibleaids.htm#pagehh,
"32,000",antiquity,Egyptian Slave,slave,Ancient Egypt,-400,Male,1000 silver drachmas,1 drachma is assumed to be worth 1 day's wage. (32 USD in 2009) ,The Slave Systems Or Greek and Roman Antiquity by William Linn Westerman ,http://books.google.es/books?id=FF-uCZRXiO4C&lpg=PA101&ots=bNsos9KDY-&dq=prices%20roman%20slaves%20child%20old&pg=PA101#v=onepage&q=prices%20roman%20slaves%20child%20old&f=false,http://www.apostolic-ministries.net/bibleaids.htm#pagehh,
"2,080",antiquity,Roman Gladiator,Gladiator,Ancient Rome,-50,Male,208 denarii,"120 gladiators cost around 25,000 denarii ($500,000), 1 gladiator = approx. 208 denarii. assuming denarius = $10 at this time. ",Encyclopaedia Romana,http://penelope.uchicago.edu/~grout/encyclopaedia_romana/gladiators/venationes.html,,
"6,000",antiquity,Roman Slave (boy),slave,Ancient Rome,0,Male (boy),300 denarii,assuming denarius = $20 at this time,The Slave Systems Or Greek and Roman Antiquity by William Linn Westerman ,http://books.google.es/books?id=FF-uCZRXiO4C&lpg=PA101&ots=bNsos9KDY-&dq=prices%20roman%20slaves%20child%20old&pg=PA101#v=onepage&q=prices%20roman%20slaves%20child%20old&f=false,,
"12,000",antiquity,Roman Slave (girl),slave,Ancient Rome,50,Female (girl),600 denarii,,The Slave Systems Or Greek and Roman Antiquity by William Linn Westerman ,http://books.google.es/books?id=FF-uCZRXiO4C&lpg=PA101&ots=bNsos9KDY-&dq=prices%20roman%20slaves%20child%20old&pg=PA101#v=onepage&q=prices%20roman%20slaves%20child%20old&f=false,,
"24,000",antiquity,Roman Slave,slave,Ancient Rome,100,Male,1200 denarii,"Roman prices of wheat, wine and meat imply the as (211 BCE-301 CE) and nummus (301 CE _ÑÐ 475 CE) as equivalent to the US dollar in purchasing power, and by conversion, the denarius at around $10 in 200 BCE, $20 at the height of the munera, and $25 in 300 CE ",The Slave Systems Or Greek and Roman Antiquity by William Linn Westerman ,http://books.google.es/books?id=FF-uCZRXiO4C&lpg=PA101&ots=bNsos9KDY-&dq=prices%20roman%20slaves%20child%20old&pg=PA101#v=onepage&q=prices%20roman%20slaves%20child%20old&f=false,,
"1,200",modern,Afghanistan Civilian Death (Australian Military),Afghanistan Civilian death (Australian Military),Australian Military,2011-2013,both,$1200 AUD,conversation from AUD to USD is virtually one for one,Herald Sun,http://www.heraldsun.com.au/ipad/diggers-pay-market-rate-1200-compensation-for-afghan-civilian-deaths/story-fn6bfkm6-1225944913938,,
"1,300",colonial,Irish Slave,Male Irish Slave,Caribbean,1600,Male,$8 ,inflation adjusted from 1750 conversion of $8 and then a bit added," 'A World Of Curiosities' John Oldale, page 50",,,
"9,000",colonial,Slave in Caribbean (girl),Female African girl slave,Caribbean,1650,Female (girl),ë£53-58,,"Nationalarchives.com, Raceandhistory.com",http://www.nationalarchives.gov.uk/pathways/blackhistory/africa_caribbean/transcripts/stephen_fuller.htm,http://www.raceandhistory.com/cgi-bin/forum/webbbs_config.pl/noframes/read/1638,http://www.measuringworth.com/ppoweruk/
"10,000",colonial,Slave in Caribbean,African Slave,Caribbean,1700,Male,$30-$80,," 'A World Of Curiosities' John Oldale, page 50",,,
"1,750",modern,Saudi Blood Money (Atheist/Other),Atheist (or other religion),Saudi Arabia blood money,saudi,Male,,"Saudi blood money tariffs (Iran has a similar system, but the time of year is also important: during the four months of haram, all rates are doubled. Levels for 100% culpability)."," 'A World Of Curiosities' John Oldale, page 220",,,
"8,800",modern right,Saudi Blood Money (Christian/Jew),Christian or Jew,Saudi Arabia blood money,saudi,Female,,"Saudi blood money tariffs (Iran has a similar system, but the time of year is also important: during the four months of haram, all rates are doubled. Levels for 100% culpability)."," 'A World Of Curiosities' John Oldale, page 220",,,
"13,500",modern right,Saudi Blood Money (Muslim Female),Muslim,Saudi Arabia blood money,saudi,Female,,"Saudi blood money tariffs (Iran has a similar system, but the time of year is also important: during the four months of haram, all rates are doubled. Levels for 100% culpability)."," 'A World Of Curiosities' John Oldale, page 220",,,
"27,000",modern right,Saudi Blood Money (Muslim Male),Muslim,Saudi Arabia blood money,saudi,Male,,"Saudi blood money tariffs (Iran has a similar system, but the time of year is also important: during the four months of haram, all rates are doubled. Levels for 100% culpability)."," 'A World Of Curiosities' John Oldale, page 220",,,
"2,000",modern,Afghanistan Civilian Death (UK military average),Afghanistan Civilian death (average),UK Military,2011-2013,both,,,http://www.guardian.co.uk/commentisfree/2011/apr/01/afghan-life-nato,,,
"38,000",modern,UK Military Death,UK Military Personnel,UK Military,2011-2013,both,ë£25000 UKP,"The amount paid is calculated by multiplying the salary by a factor based on age at the time of death. 60% of that figure will be paid for the surviving adult dependant. If the deceased was a member of AFPS 75 (Armed Forces Pension Society), then the dependant will receive the full grant of ë£25,000",Veterans UK,http://www.veterans-uk.info/pensions/death.html,,
"4,000",colonial,US Slave (age 60),"60 year old, black male slave  ",US,1810,male,$700.00 ,,,http://eh.net/encyclopedia/article/wahl.slavery.us,http://www.measuringworth.com/slavery.php,
"8,100",colonial,US Slave (age 10),"10 year old, black male slave",US,1830,male,$800.00 ,slave market value $4bn in US South,,,,
"22,000",colonial,US Slave (age 25),"25 year old, black male slave  ",US,1850,male,$800.00 ,,,http://eh.net/encyclopedia/article/wahl.slavery.us,http://www.measuringworth.com/slavery.php,
"100,000",modern tall,US Military Death,US Military Personnel,US Military,2012,both,,The death gratuity is a one-time non-taxable payment of $100000 to surviving family members of military personnel who have died on active duty. ,Military.com,http://www.military.com/benefits/survivor-benefits/death-gratuity.html,,
"6,400",modern,Nigerian Baby,Baby from Nigeria,Nigeria ,2011.1,both,,,"Havoscope, Guardian",http://www.havocscope.com/black-market-prices/human-trafficking-prices/,http://www.guardian.co.uk/law/2011/jun/02/nigeria-baby-farm-raided-human-trafficking,
"7,800",modern,Chinese Baby (male),Male Baby in China,China,2012.1,male,"50,000 Yuan",2012 price same as 2011,"Havoscope, Businessweek",http://www.havocscope.com/price-of-babies-sold-in-china-in-2012/,http://www.businessweek.com/news/2012-07-05/china-busts-traffickers-after-babies-auctioned-off-for-7-800,
"4,732",modern,Chinese Baby (female),Female Baby in China,China,2011.2,female,"30,000 Yuan",,"Havoscope, Guardian",http://www.havocscope.com/reported-price-of-babies-in-china-in-2011/,http://www.guardian.co.uk/world/2011/nov/04/china-baby-trafficking-ring-shut?newsfeed=true,
"17,500",modern,"Baby in North Caucasus, Russia","Baby in North Caucasus, Russia",Russia,2012.2,male,"550,000 Roubles",,"Havoscope, Reuters",http://www.havocscope.com/price-of-baby-in-north-caucasus-region-of-russia/,http://www.reuters.com/article/2012/11/01/us-russia-trafficking-northcaucasus-idUSBRE8A013620121101,
